mean,mean_se,mean_ci_lower,mean_ci_upper,year,pdq,geo
4.668779406971275,3.671032246088405,-2.52631158144718,11.86387039538973,2045-12-31,403,Western Europe
4.746756073232368,3.7960228555831823,-2.69331200820156,12.186824154666297,2046-12-31,403,Western Europe
4.825791617303644,3.9158682423459794,-2.849169105898639,12.500752340505928,2047-12-31,403,Western Europe
4.905636035719767,4.0304560940446725,-2.9939127498777722,12.805184821317306,2048-12-31,403,Western Europe
4.9860457792393875,4.139702967143129,-3.1276229430547433,13.09971450153352,2049-12-31,403,Western Europe
5.066784187925749,4.2435529788696,-3.2504268171463275,13.383995192997826,2050-12-31,403,Western Europe
5.147621892396145,4.341976530927845,-3.362495729940594,13.657739514732885,2051-12-31,403,Western Europe
5.228337181402427,4.434969054355814,-3.464042437684629,13.920716800489483,2052-12-31,403,Western Europe
5.308716335959705,4.522549767161433,-3.555318325966711,14.172750997886121,2053-12-31,403,Western Europe
5.38855393030493,4.604760438108332,-3.63661068582228,14.41371854643214,2054-12-31,403,Western Europe
5.467653100035787,4.681664151402393,-3.708240024425179,14.643546224496752,2055-12-31,403,Western Europe
5.545825777850205,4.7533440681315176,-3.7705574018146732,14.862208957515083,2056-12-31,403,Western Europe
5.6228928973757135,4.8199021812048475,-3.8239417867918366,15.069727581543264,2057-12-31,403,Western Europe
5.698684565644689,4.881458061277964,-3.8687974265028364,15.266166557792214,2058-12-31,403,Western Europe
5.773040204835554,4.938147591780487,-3.9055512253974003,15.451631635068509,2059-12-31,403,Western Europe
5.845808663960623,4.990121691717446,-3.9346501302776584,15.626267458198905,2060-12-31,403,Western Europe
5.916848301238429,5.037545025424714,-3.95655851909292,15.790255121569778,2061-12-31,403,Western Europe
5.9860270379416525,5.080594698946123,-3.9717555920378667,15.943809667921172,2062-12-31,403,Western Europe
6.053222384561319,5.119458943186138,-3.9807327644149977,16.087177533537634,2063-12-31,403,Western Europe
6.118321440173466,5.154335784493931,-3.983991061660644,16.220633942007574,2064-12-31,403,Western Europe
6.181220865936167,5.18543170386658,-3.9820385179344964,16.34448024980683,2065-12-31,403,Western Europe
6.241826833682557,5.2129602865311595,-3.9753875807561165,16.45904124812123,2066-12-31,403,Western Europe
6.300054950609317,5.237140864285231,-3.9645525253527065,16.56466242657134,2067-12-31,403,Western Europe
6.355830161090101,5.25819715364581,-3.950046883666711,16.661707205846913,2068-12-31,403,Western Europe
6.409086626669575,5.276355893577895,-3.9323808943587526,16.750554147697905,2069-12-31,403,Western Europe
6.459767585316116,5.291845487339376,-3.9120589816198725,16.831594152252105,2070-12-31,403,Western Europe
6.507825191030041,5.304894653779497,-3.8895772721568536,16.905227654216937,2071-12-31,403,Western Europe
6.553220334919315,5.31573109424724,-3.865421161304967,16.9718618311436,2072-12-31,403,Western Europe
6.595922448866322,5.324580182082892,-3.840062940811869,17.031907838544512,2073-12-31,403,Western Europe
6.635909292917463,5.331663682454497,-3.8139595023735513,17.085778088208478,2074-12-31,403,Western Europe
6.673166727532196,5.337198511029645,-3.787550132426711,17.133883587491106,2075-12-31,403,Western Europe
6.707688471829699,5.341395540607376,-3.7612544149436102,17.176631358603007,2076-12-31,403,Western Europe
6.739475848969855,5.3444584653373886,-3.7354702599616356,17.214421957901344,2077-12-31,403,Western Europe
6.768537519800702,5.346582732486074,-3.710572076235753,17.247647115837157,2078-12-31,403,Western Europe
6.794889205897033,5.347954551834365,-3.686909106655368,17.276687518449435,2079-12-31,403,Western Europe
6.818553403104636,5.348749992677672,-3.664803944852479,17.30191075106175,2080-12-31,403,Western Europe
