index,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
35,10404,8698,AFG,SVR_RBF,,9.186298584315551,9.186298584315551,84.3880816801979,0.562317301856962,4.423503020556585,5.755687009322798,33.12793294928721,2020,0,0,square root transform,0,Afghanistan,Asia,0. No Excess Deaths
4067,225,148,NAM,SVR_RBF,,3.3287744562652186,3.3287744562652186,11.080739380683802,0.9050137813203123,0.3739238369183776,0.5257863241958383,0.2764512587113711,2020,0,0,square root transform,0,Namibia,Africa,0. No Excess Deaths
4031,1764,1658,MMR,POISSON,,1.1408204864602922,1.1408204864602922,1.3014713823274977,0.9833902193884191,1.1004026751278793,1.4300073643353326,2.0449210620532847,2020,0,0,square root transform,0,Myanmar,Asia,0. No Excess Deaths
3995,1681,1466,MOZ,Bayesian_ARD,,3.025337719770114,3.025337719770114,9.152668318663833,0.9819748713845932,1.474690651165176,1.6934954022892543,2.8679266775748435,2020,0,0,square root transform,0,Mozambique,Africa,0. No Excess Deaths
3923,1,0,MNE,SVR_RBF,,0.03253100033898204,0.03253100033898204,0.0010582659830548496,0.7469207459593459,0.0591402771865343,0.0666469037601316,0.0044418097808122435,2020,0,0,square root transform,0,Montenegro,Europe,0. No Excess Deaths
3851,1,1,FSM,Bayesian_ARD,,0.20687623801330313,0.20687623801330313,0.042797777854536846,0.9387937956161351,0.04563983595121434,0.06085466218271825,0.0037032899093727588,2020,0,0,square root transform,0,"Micronesia, Federated States of",Oceania,0. No Excess Deaths
3743,729,696,MRT,SVR_RBF,,1.0290121390253901,1.0290121390253901,1.0588659822616089,0.9337045358662808,0.24314206565590196,0.31829093169741024,0.10130911720080549,2020,0,0,square root transform,0,Mauritania,Africa,0. No Excess Deaths
3707,0,0,MLT,Bayesian_ridge,,0.05998806326909489,0.05998806326909489,0.003598567734776932,0.9638750303963239,0.029335674824463195,0.03464167921388754,0.0012000459387578883,2020,0,0,square root transform,0,Malta,Europe,0. No Excess Deaths
3527,3844,3465,MDG,SVR_RBF,,3.330586172840569,3.330586172840569,11.092804254716787,0.8296541052617175,0.5268017195306853,0.6860648602529549,0.47068499247390644,2020,0,0,square root transform,0,Madagascar,Africa,0. No Excess Deaths
3491,1,0,LUX,Bayesian_ridge,,0.028940338197601112,0.028940338197601112,0.00083754317499153,0.5404848299056726,0.029353761673696133,0.03459276013919211,0.0011966590540476783,2020,0,0,square root transform,0,Luxembourg,Europe,0. No Excess Deaths
3419,100,88,LBY,SVR_RBF,,0.13565012590420622,0.13565012590420622,0.018400956657827,0.9451677871989521,0.14739038425618517,0.1904866580874243,0.03628516690931529,2020,0,0,square root transform,0,Libya,Africa,0. No Excess Deaths
3347,484,334,LSO,SVR_RBF,,3.3981166060076475,3.3981166060076475,11.547196468024934,0.6860604005393158,0.868965015116682,1.3159804408013824,1.7318045205718007,2020,0,0,square root transform,0,Lesotho,Africa,0. No Excess Deaths
6623,1024,891,ZMB,SVR_RBF,,2.313483605489779,2.313483605489779,5.352206392869987,0.8367872039516144,1.668944560510617,2.264981194276193,5.130139810424811,2020,0,0,square root transform,0,Zambia,Africa,0. No Excess Deaths
3275,4,3,LVA,SVR_RBF,,0.2472577661545654,0.2472577661545654,0.06113640292374575,0.983676283650313,0.08206436363508163,0.10375523308754572,0.010765148393050943,2020,0,0,square root transform,0,Latvia,Europe,0. No Excess Deaths
3239,256,207,LAO,Bayesian_ARD,,1.1365157690235872,1.1365157690235872,1.291668093239276,0.9630281790893679,1.222747685093825,1.4458468864584808,2.090473219081683,2020,0,0,square root transform,0,Lao People's Democratic Republic,Asia,0. No Excess Deaths
3203,81,81,KGZ,SVR_RBF,,0.44811743823827754,0.44811743823827754,0.20080923845323648,0.8886408733713164,0.16752075803460806,0.20108395413127222,0.0404347566090676,2020,0,0,square root transform,0,Kyrgyzstan,Asia,0. No Excess Deaths
3167,4,4,KWT,SVR_RBF,,0.08476750394677879,0.08476750394677879,0.007185529725367157,0.7345938709833231,0.0844576519849102,0.1247606584133927,0.015565221887743256,2020,0,0,square root transform,0,Kuwait,Asia,0. No Excess Deaths
3131,4,3,KIR,SVR_RBF,,0.049268888378131814,0.049268888378131814,0.002427423362016812,0.9263674064607146,0.05717912601339002,0.06457038463082328,0.004169334571372459,2020,0,0,square root transform,0,Kiribati,Oceania,0. No Excess Deaths
3023,100,100,JOR,SVR_RBF,,0.2914011896980213,0.2914011896980213,0.0849146533574222,0.6736982085083287,0.15706202153438267,0.19531595980155775,0.03814832415320372,2020,0,0,square root transform,0,Jordan,Asia,0. No Excess Deaths
2987,36,36,JPN,POISSON,,0.3686598049759571,0.3686598049759571,0.1359100518049107,0.9872215764386686,0.17041212766673638,0.27460815679448697,0.07540963977806554,2020,0,0,square root transform,0,Japan,Asia,0. No Excess Deaths
2951,36,33,JAM,SVR_RBF,,0.5959139161038376,0.5959139161038376,0.35511339540621156,0.8313081267235487,0.1777305338496896,0.21009327622337767,0.04413918471427247,2020,0,0,square root transform,0,Jamaica,North America,0. No Excess Deaths
2843,4,3,IRL,SVR_RBF,,0.2670548838790252,0.2670548838790252,0.07131831100363964,0.8028617734131277,0.0678557947203668,0.08039255616146115,0.006462963086173687,2020,0,0,square root transform,0,Ireland,Europe,0. No Excess Deaths
