level_0,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,country_name,continent,excess,excess_category
0,10520.0,8698,AFG,Huber,,1822.1506735841976,1822.1506735841976,3320233.0772433453,0.008065920738521415,1500.8731628465034,1762.6883834113594,3107070.3370133513,2020,,,normal - no transformation,Afghanistan,Asia,0.0,0. No Excess Deaths
115,4.0,4,NZL,POISSON,,0.25465800749549317,0.25465800749549317,0.06485070078157465,0.851045727657999,0.4565534509814958,0.5985146828332345,0.35821982556696735,2020,,,normal - no transformation,New Zealand,Oceania,0.0,0. No Excess Deaths
114,9.0,7,NLD,Bayesian_ARD,,2.200499808449422,2.200499808449422,4.842199406985942,0.6487845013345428,3.208944423161055,3.7628068318683394,14.15871525395505,2020,,,normal - no transformation,Netherlands,Europe,0.0,0. No Excess Deaths
112,241.0,148,NAM,Bayesian_ARD,,92.5549865639332,92.5549865639332,8566.425537849855,0.20182625339925697,36.80141188108111,43.35911182911547,1880.0125786097412,2020,,,normal - no transformation,Namibia,Africa,0.0,0. No Excess Deaths
108,0.0,0,MNE,Bayesian_ARD,,0.4071772234121127,0.4071772234121127,0.16579329126559755,0.42581021898751015,0.23695730547500163,0.28558428742030945,0.08155838522136591,2020,,,normal - no transformation,Montenegro,Europe,0.0,0. No Excess Deaths
106,1.0,1,FSM,Bayesian_ARD,,0.28534525760397855,0.28534525760397855,0.08142191603708088,0.8536103620048086,0.2673829181069526,0.32685556489092277,0.10683456030016421,2020,,,normal - no transformation,"Micronesia, Federated States of",Oceania,0.0,0. No Excess Deaths
103,749.0,696,MRT,Bayesian_ARD,,52.68305383266579,52.68305383266579,2775.504161135562,0.526852461781169,36.522109664851214,43.40793535125453,1884.2488514586926,2020,,,normal - no transformation,Mauritania,Africa,0.0,0. No Excess Deaths
102,-0.0,0,MLT,Bayesian_ARD,,0.31973332062752036,0.31973332062752036,0.10222939631950073,0.7352118918649422,0.21151080836459193,0.2546489098707896,0.06484606729838151,2020,,,normal - no transformation,Malta,Europe,0.0,0. No Excess Deaths
97,3875.0,3465,MDG,Bayesian_ridge,,409.86301575455354,409.86301575455354,167987.69168341742,0.03306261067458216,166.67624640854677,204.73862372666886,41917.90404549049,2020,,,normal - no transformation,Madagascar,Africa,0.0,0. No Excess Deaths
96,0.0,0,LUX,Bayesian_ARD,,0.12292861927404886,0.12292861927404886,0.015111445436624056,0.5644169901095721,0.25559251746247347,0.29815179324359775,0.08889449181437305,2020,,,normal - no transformation,Luxembourg,Europe,0.0,0. No Excess Deaths
94,90.0,88,LBY,Gamma,,2.40076465142738,2.40076465142738,5.7636709115432305,0.6317426643248156,7.003921281150299,8.383515995703512,70.28334045021664,2020,,,normal - no transformation,Libya,Africa,0.0,0. No Excess Deaths
118,85839.0,81747,NGA,Gamma,,4091.6614831076004,4091.6614831076004,16741693.692346288,0.9873527722664878,1136.5856994984897,1341.5024707557934,1799628.879043898,2020,,,normal - no transformation,Nigeria,Africa,0.0,0. No Excess Deaths
92,474.0,334,LSO,Gamma,,140.152483265123,140.152483265123,19642.718565380586,0.2979615684747253,64.91328186685159,81.97735461161498,6720.286669118474,2020,,,normal - no transformation,Lesotho,Africa,0.0,0. No Excess Deaths
88,89.0,81,KGZ,POISSON,,7.801821297080551,7.801821297080551,60.868415551579645,0.5152986783097651,7.470644842866227,8.70028247476082,75.69491514063027,2020,,,normal - no transformation,Kyrgyzstan,Asia,0.0,0. No Excess Deaths
87,4.0,4,KWT,POISSON,,0.1328226317760084,0.1328226317760084,0.017641851511905116,0.18056912070041709,0.8999870207707,1.0985159957244166,1.2067373928624066,2020,,,normal - no transformation,Kuwait,Asia,0.0,0. No Excess Deaths
86,3.0,3,KIR,POISSON,,0.10502458286822502,0.10502458286822502,0.011030163006644665,0.6296886188971211,0.5237124217788376,0.6230142746332651,0.38814678639681344,2020,,,normal - no transformation,Kiribati,Oceania,0.0,0. No Excess Deaths
81,40.0,33,JAM,Bayesian_ARD,,6.7382548509090725,6.7382548509090725,45.40407843579965,0.08254558599846595,5.1088611881096675,5.7849581894133735,33.46574125326085,2020,,,normal - no transformation,Jamaica,North America,0.0,0. No Excess Deaths
78,4.0,3,IRL,Bayesian_ARD,,0.7741646004097191,0.7741646004097191,0.59933082852754,0.39702343810207164,0.5971110323965604,0.7209649142949018,0.5197904076442551,2020,,,normal - no transformation,Ireland,Europe,0.0,0. No Excess Deaths
77,1025.0,897,IRQ,Bayesian_ARD,,128.40953305510266,128.40953305510266,16489.0081794295,0.36444316595305204,149.080029647295,174.82783164042277,30564.77071609201,2020,,,normal - no transformation,Iraq,Asia,0.0,0. No Excess Deaths
73,0.0,0,ISL,,,0.0,0.0,0.0,inf,inf,inf,inf,2020,,,normal - no transformation,Iceland,Europe,0.0,0. No Excess Deaths
67,2710.0,2557,GIN,Bayesian_ARD,,152.6622667093543,152.6622667093543,23305.767676838026,0.7188218613216821,117.62968054665606,145.75236870378734,21243.75298276477,2020,,,normal - no transformation,Guinea,Africa,0.0,0. No Excess Deaths
65,0.0,0,GRD,Bayesian_ridge,,0.24785240118028184,0.24785240118028184,0.06143081277083138,0.5836545138908045,0.2864287972227044,0.3224924852779456,0.10400140306074597,2020,,,normal - no transformation,Grenada,North America,0.0,0. No Excess Deaths
60,468.0,399,GMB,Bayesian_ARD,,68.63976514033493,68.63976514033493,4711.417358520338,0.05715895228633994,21.83084372230483,26.27241314015872,690.2396922071846,2020,,,normal - no transformation,Gambia,Africa,0.0,0. No Excess Deaths
183,1022.0,891,ZMB,Bayesian_ARD,,130.75820927406312,130.75820927406312,17097.709292559688,0.7479506838904773,185.73748810528195,220.12238654618108,48453.86505878636,2020,,,normal - no transformation,Zambia,Africa,0.0,0. No Excess Deaths
119,1.0,1,NOR,Bayesian_ARD,,0.33094617824016836,0.33094617824016836,0.10952537289177329,0.7661334145008087,0.36853326154464167,0.45950856052260397,0.21114811719355558,2020,,,normal - no transformation,Norway,Europe,0.0,0. No Excess Deaths
120,37.0,30,PSE,Bayesian_ARD,,6.947137768326684,6.947137768326684,48.26272317211106,0.8807566403644386,5.252054647938323,6.235113860452542,38.87664485280741,2020,,,normal - no transformation,"Palestine, State of",Asia,0.0,0. No Excess Deaths
122,12480.0,9809,PAK,Bayesian_ARD,,2670.6585241633,2670.6585241633,7132416.952686097,0.5028492099322837,2545.1970402666934,2971.90835270714,8832239.256890465,2020,,,normal - no transformation,Pakistan,Asia,0.0,0. No Excess Deaths
179,8.0,8,VUT,Bayesian_ridge,,0.20766346854890116,0.20766346854890116,0.04312411616976046,0.25480493961004846,0.4212244897959185,0.5591759688279181,0.3126777641146408,2020,,,normal - no transformation,Vanuatu,Oceania,0.0,0. No Excess Deaths
175,72.0,67,GBR,Bayesian_ARD,,5.176488718303631,5.176488718303631,26.796035450724766,0.0005334544429550503,4.889711874669789,5.679530689518125,32.257068853178225,2020,,,normal - no transformation,United Kingdom,Europe,0.0,0. No Excess Deaths
174,9.0,9,ARE,POISSON,,0.19266121393387436,0.19266121393387436,0.03711834335447411,0.10507393653646369,1.1918337371637011,1.3279880492457652,1.7635522589395727,2020,,,normal - no transformation,United Arab Emirates,Asia,0.0,0. No Excess Deaths
172,4769.0,4700,UGA,Bayesian_ARD,,68.89741357821913,68.89741357821913,4746.853597768174,0.6437092401646247,191.58523184122626,225.39569055510862,50803.217320814285,2020,,,normal - no transformation,Uganda,Africa,0.0,0. No Excess Deaths
167,3.0,3,TON,POISSON,,0.08473904403569854,0.08473904403569854,0.007180705584084056,0.1667998265496462,0.123234609785556,0.2118744554100007,0.04489078485528437,2020,,,normal - no transformation,Tonga,Oceania,0.0,0. No Excess Deaths
166,1230.0,1089,TGO,Gamma,,140.6184531874751,140.6184531874751,19773.549376838124,0.6274546016869744,66.47908553447586,77.08658237055258,5942.341181571988,2020,,,normal - no transformation,Togo,Africa,0.0,0. No Excess Deaths
162,7335.0,5390,TZA,Bayesian_ARD,,1945.3100294035394,1945.3100294035394,3784231.110497999,0.4012644455386052,1195.2225406159855,1352.817031239824,1830113.920012531,2020,,,normal - no transformation,"Tanzania, United Republic of",Africa,0.0,0. No Excess Deaths
157,164.0,69,SWZ,Bayesian_ARD,,94.96895717388588,94.96895717388588,9019.10282669537,6.069451037316043e-07,42.144026526179566,50.81476629482672,2582.140473597857,2020,,,normal - no transformation,Eswatini,Africa,0.0,0. No Excess Deaths
154,1.0,1,VCT,POISSON,,0.31434065852255344,0.31434065852255344,0.09881004960039255,0.7419584398161023,0.20478390375424044,0.25138387273969587,0.0631938514736076,2020,,,normal - no transformation,Saint Vincent and the Grenadines,North America,0.0,0. No Excess Deaths
153,92.0,89,LKA,Bayesian_ridge,,3.297195603045111,3.297195603045111,10.871498844740014,0.9016446142926339,10.882663485167567,13.8667337383396,192.2863045700057,2020,,,normal - no transformation,Sri Lanka,Asia,0.0,0. No Excess Deaths
152,15.0,12,ESP,Bayesian_ARD,,2.8131546984682245,2.8131546984682245,7.913839357513847,0.7832492904277532,1.2367562370359793,1.6964950764473006,2.8780955444099323,2020,,,normal - no transformation,Spain,Europe,0.0,0. No Excess Deaths
150,1913.0,1516,ZAF,Bayesian_ARD,,396.96395826114826,396.96395826114826,157580.38415835865,5.7727176561162e-07,290.13830120478946,343.566778142989,118038.1310435538,2020,,,normal - no transformation,South Africa,Africa,0.0,0. No Excess Deaths
149,5403.0,4519,SOM,Bayesian_ridge,,883.7132837738318,883.7132837738318,780949.167918329,0.42579131365218237,428.9352858066875,531.2817845862018,282260.3346330993,2020,,,normal - no transformation,Somalia,Africa,0.0,0. No Excess Deaths
148,29.0,26,SLB,Bayesian_ARD,,2.6255501290014536,2.6255501290014536,6.89351347989955,0.8898751451879386,0.8154778809182549,0.9842454627700797,0.9687391309834885,2020,,,normal - no transformation,Solomon Islands,Oceania,0.0,0. No Excess Deaths
145,3.0,3,SGP,Bayesian_ARD,,0.11682553217275427,0.11682553217275427,0.013648204967447243,0.786740442326828,0.7153761605545145,0.8925431383446233,0.7966332538060694,2020,,,normal - no transformation,Singapore,Asia,0.0,0. No Excess Deaths
144,1659.0,1165,SLE,Bayesian_ARD,,494.30596267689543,494.30596267689543,244338.38473793233,0.5081654985179087,504.74411711710644,568.2566414674748,322915.6105718941,2020,,,normal - no transformation,Sierra Leone,Africa,0.0,0. No Excess Deaths
143,-0.0,0,SYC,Bayesian_ARD,,0.3431691051674193,0.3431691051674193,0.11776503474140727,0.6763371576403153,0.22855063108407755,0.2700429965632804,0.07292321999287588,2020,,,normal - no transformation,Seychelles,Africa,0.0,0. No Excess Deaths
142,7.0,7,SRB,POISSON,,0.0913356618943908,0.0913356618943908,0.008342203133686471,0.9130923333304559,0.6284105766007269,0.9034896575985639,0.8162935613875704,2020,,,normal - no transformation,Serbia,Europe,0.0,0. No Excess Deaths
141,1820.0,1417,SEN,Bayesian_ARD,,402.8806663303658,402.8806663303658,162312.83130279952,0.17272668184907558,224.83009222533988,254.8399103205062,64943.37989216363,2020,,,normal - no transformation,Senegal,Africa,0.0,0. No Excess Deaths
139,10.0,9,STP,Bayesian_ARD,,1.1845416932486579,1.1845416932486579,1.4031390230443974,0.048169181147788676,0.6181270620756176,0.8564417575520038,0.7334924840787652,2020,,,normal - no transformation,Sao Tome and Principe,Africa,0.0,0. No Excess Deaths
137,1.0,1,LCA,Bayesian_ARD,,0.33623484002910686,0.33623484002910686,0.11305386764939908,0.32534267288989593,0.38932826318034625,0.47169824334794414,0.2224992327775363,2020,,,normal - no transformation,Saint Lucia,North America,0.0,0. No Excess Deaths
131,2.0,2,QAT,Bayesian_ARD,,0.020867280014208234,0.020867280014208234,0.00043544337519137437,0.3590106796260286,0.32912311937843675,0.40014561842718926,0.16011651594647774,2020,,,normal - no transformation,Qatar,Asia,0.0,0. No Excess Deaths
124,611.0,485,PNG,Bayesian_ARD,,125.61345286957021,125.61345286957021,15778.739541815736,0.21380108238480944,62.171240664733396,72.58179373302532,5268.116781503433,2020,,,normal - no transformation,Papua New Guinea,Oceania,0.0,0. No Excess Deaths
57,4.0,4,FIN,,,0.0,0.0,0.0,inf,inf,inf,inf,2020,,,normal - no transformation,Finland,Europe,0.0,0. No Excess Deaths
55,15204.0,10246,ETH,Bayesian_ridge,,4958.206020185724,4958.206020185724,24583806.938605957,0.6733335238351025,2978.0165176476185,3486.35227033214,12154652.152850067,2020,,,normal - no transformation,Ethiopia,Africa,0.0,0. No Excess Deaths
184,2563.0,1734,ZWE,Bayesian_ARD,,829.4502571071353,829.4502571071353,687987.7290150928,0.4180673603097066,384.6412437224465,460.6098274776982,212161.4131690349,2020,,,normal - no transformation,Zimbabwe,Africa,0.0,0. No Excess Deaths
13,1.0,1,BRB,Bayesian_ARD,,0.4071772234121127,0.4071772234121127,0.16579329126559755,0.42581021898751015,0.23695730547500163,0.28558428742030945,0.08155838522136591,2020,,,normal - no transformation,Barbados,North America,0.0,0. No Excess Deaths
