index,mid,value_col,iso_code,model_type,R2,MAE,MSE,RMSE,R2_train,MAE_train,MSE_train,RMSE_train,Year,lower,upper,transform,excess,country_name,continent,excess_category
35,10500.0,8698.11328010911,AFG,SVR_RBF,,18.283437840762943,18.283437840762943,334.2840992770423,0.33749314677740594,11.59076535448734,14.405431014066993,207.5164427010432,2020,,,divide by 100,0.0,Afghanistan,Asia,0. No Excess Deaths
1367,700.0,502.646639648518,COG,SVR_RBF,,1.9465869904673427,1.9465869904673427,3.7892009114567067,0.7685247725781366,0.3145053011298007,0.533429030880412,0.28454653098601557,2020,,,divide by 100,0.0,Congo,Africa,0. No Excess Deaths
1439,5000.0,4400.74490114155,CIV,SVR_RBF,,6.34544844009767,6.34544844009767,40.26471590593795,0.9174557216858138,1.566959079903773,1.9372481533790555,3.752930407770561,2020,,,divide by 100,0.0,Côte d'Ivoire,Africa,0. No Excess Deaths
1619,500.0,368.116666835079,PRK,SVR_RBF,,0.8594069940855444,0.8594069940855444,0.738580381483151,0.6361302413406,0.6774922373786681,0.9157719513566588,0.8386382668915827,2020,,,divide by 100,0.0,"Korea, Democratic People's Republic of",Asia,0. No Excess Deaths
1727,100.0,56.277616966664404,DJI,SVR_RBF,,0.050383305472716744,0.050383305472716744,0.002538477470357089,0.9584875583214421,0.0631023559093056,0.06868928064793148,0.004718217275930294,2020,,,divide by 100,0.0,Djibouti,Africa,0. No Excess Deaths
2015,15200.0,10246.2130511678,ETH,Bayesian_ARD,,49.578644280083566,49.578644280083566,2458.0419686510627,0.673340054812751,29.78046908159555,34.86365123468062,1215.4741774134473,2020,,,divide by 100,0.0,Ethiopia,Africa,0. No Excess Deaths
2195,500.0,398.669052219479,GMB,SVR_RBF,,0.6823867864787658,0.6823867864787658,0.46565172636081675,0.8820013990565907,0.0774769800433291,0.09296698027579213,0.008642859421599522,2020,,,divide by 100,0.0,Gambia,Africa,0. No Excess Deaths
2447,2700.0,2556.71533398944,GIN,SVR_RBF,,1.529097931531215,1.529097931531215,2.3381404842130404,0.8459907733380931,0.7726672617856536,1.0785684901073085,1.1633099878523592,2020,,,divide by 100,0.0,Guinea,Africa,0. No Excess Deaths
2807,1000.0,897.3422949060341,IRQ,SVR_RBF,,1.2810640819115182,1.2810640819115182,1.641125181963801,0.37410828350636194,1.219861122749292,1.7344943603177412,3.0084706859740504,2020,,,divide by 100,0.0,Iraq,Asia,0. No Excess Deaths
3203,100.0,81.1157360722965,KGZ,SVR_RBF,,0.07841032423517635,0.07841032423517635,0.0061481789466654845,0.7009705480059549,0.060328873486350555,0.06807998212636726,0.004634883966326485,2020,,,divide by 100,0.0,Kyrgyzstan,Asia,0. No Excess Deaths
6623,1000.0,891.4850923804659,ZMB,SVR_RBF,,1.3022325492433193,1.3022325492433193,1.695809612308754,0.887779305425055,1.1184710296473757,1.4689117779671466,2.1577018114506035,2020,,,divide by 100,0.0,Zambia,Africa,0. No Excess Deaths
3347,500.0,334.061689617241,LSO,SVR_RBF,,1.400071839917981,1.400071839917981,1.9602011569313207,0.7603445940153029,0.31384451347248493,0.47895792790719777,0.22940069670515645,2020,,,divide by 100,0.0,Lesotho,Africa,0. No Excess Deaths
3419,100.0,87.9950661025292,LBY,SVR_RBF,,0.024144131547453873,0.024144131547453873,0.0005829390881807574,0.822178554098626,0.04999775626189133,0.05834183388825066,0.003403769581444233,2020,,,divide by 100,0.0,Libya,Africa,0. No Excess Deaths
3527,3900.0,3464.92472555182,MDG,SVR_RBF,,4.089632627850122,4.089632627850122,16.725095030776295,0.8260625763518419,0.6658023429683699,0.8682180210974729,0.7538025321584119,2020,,,divide by 100,0.0,Madagascar,Africa,0. No Excess Deaths
3743,700.0,695.748145683078,MRT,SVR_RBF,,0.5299131103999715,0.5299131103999715,0.28080790457377236,0.9419713857249138,0.12323292536424384,0.15208188782352217,0.02312890060396638,2020,,,divide by 100,0.0,Mauritania,Africa,0. No Excess Deaths
4067,200.0,148.098190935091,NAM,SVR_RBF,,0.9245858036980286,0.9245858036980286,0.8548589083999294,0.9049230757590466,0.10244392250410839,0.14963975785693387,0.022392057131481798,2020,,,divide by 100,0.0,Namibia,Africa,0. No Excess Deaths
4283,85800.0,81747.1915729731,NGA,Gamma,,40.91601419651704,40.91601419651704,1674.1202177295838,0.987353938149678,11.365333537956936,13.414467877695321,179.94794844171963,2020,,,divide by 100,0.0,Nigeria,Africa,0. No Excess Deaths
4427,12500.0,9809.45123537577,PAK,Bayesian_ridge,,26.703186510113426,26.703186510113426,713.0601697939037,0.5028417062966088,25.451809427942365,29.71907702592513,883.2235392728709,2020,,,divide by 100,0.0,Pakistan,Asia,0. No Excess Deaths
4499,600.0,485.3520229646509,PNG,SVR_RBF,,1.2534987691466775,1.2534987691466775,1.5712591642522353,0.9563367818215754,0.13194297195571755,0.17099584296326534,0.029239578310717704,2020,,,divide by 100,0.0,Papua New Guinea,Oceania,0. No Excess Deaths
4535,100.0,98.8607030080718,PRY,SVR_RBF,,0.38851785141423845,0.38851785141423845,0.15094612086753625,0.9932015008691738,0.05524592805677011,0.06691202778604594,0.0044772194624405825,2020,,,divide by 100,0.0,Paraguay,South America,0. No Excess Deaths
5111,1800.0,1416.58183593146,SEN,SVR_RBF,,4.032998757806764,4.032998757806764,16.265078980470904,0.8163208393426462,0.9104919905894724,1.2009424301548246,1.4422627205461758,2020,,,divide by 100,0.0,Senegal,Africa,0. No Excess Deaths
