,mean,mean_se,mean_ci_lower,mean_ci_upper,year,pdq,geo
776,131.82226814258786,502.72214481434776,-853.4950299242632,1117.139566209439,2087-12-31,031,World
777,135.70393800269497,519.3021891971351,-882.1096499164951,1153.517525921885,2088-12-31,031,World
778,139.65824901848464,536.2038498169295,-911.2819849944212,1190.5984830313905,2089-12-31,031,World
779,143.68520118995684,553.4291648317694,-941.0160298743922,1228.3864322543059,2090-12-31,031,World
780,147.7847945171116,570.9801597565163,-971.3157544925866,1266.8853435268097,2091-12-31,031,World
781,151.9570289999489,588.8588476926728,-1002.185104455447,1306.0991624553449,2092-12-31,031,World
782,156.20190463846876,607.067229551422,-1033.6280014768279,1346.0318107537653,2093-12-31,031,World
783,160.51942143267115,625.6072942701559,-1065.6483438023856,1386.687186667728,2094-12-31,031,World
784,164.90957938255607,644.4810190227568,-1098.2500066217206,1428.0691653868328,2095-12-31,031,World
785,169.37237848812356,663.6903694238707,-1131.4368424687466,1470.1815994449937,2096-12-31,031,World
786,173.90781874937358,683.2372997274109,-1165.21268161075,1513.028319109497,2097-12-31,031,World
787,178.51590016630615,703.1237530195108,-1199.581332426571,1556.6131327591834,2098-12-31,031,World
788,183.19662273892126,723.3516614061396,-1234.546581774324,1600.9398272521664,2099-12-31,031,World
789,187.94998646721893,743.9229461955813,-1270.1121953490488,1646.0121682834865,2100-12-31,031,World
790,35.69290789776191,1.2866362274180116,33.17114723081812,38.214668564705704,2022-12-31,032,World
791,34.79250906341652,1.8065910736828883,31.25165562420651,38.33336250262653,2023-12-31,032,World
792,33.92036007818615,2.458920354515154,29.100964742483985,38.73975541388831,2024-12-31,032,World
793,33.0764609420708,3.254433275683961,26.697888931641526,39.455032952500076,2025-12-31,032,World
794,32.260811655070476,4.202997669788467,24.023087595179312,40.49853571496164,2026-12-31,032,World
795,31.47341221718517,5.313809815855966,21.05853635741206,41.88828807695828,2027-12-31,032,World
796,30.714262628414886,6.595542563278666,17.78723674588771,43.64128851094206,2028-12-31,032,World
797,29.983362888759626,8.056437329623922,14.19303587899269,45.77368989852656,2029-12-31,032,World
798,29.280712998219386,9.704367546630722,10.260502114083845,48.30092388235492,2030-12-31,032,World
799,28.606312956794167,11.546885874985382,5.974832508228548,51.23779340535978,2031-12-31,032,World
800,27.96016276448397,13.591261191046714,1.321780325555455,54.598545203412485,2032-12-31,032,World
801,27.342262421288797,15.844508569378903,-3.7124037274301074,58.3969285700077,2033-12-31,032,World
802,26.752611927208644,18.313414164270736,-9.14102026872769,62.64624412314498,2034-12-31,032,World
803,26.191211282243515,21.004556210172268,-14.976962400941261,67.35938496542829,2035-12-31,032,World
804,25.658060486393406,23.92432297619312,-21.232750901449226,72.54887187423604,2036-12-31,032,World
805,25.15315953965832,27.078928275615194,-27.920564620490772,78.22688369980742,2037-12-31,032,World
806,24.676508442038255,30.474424979135637,-35.05226696663538,84.4052838507119,2038-12-31,032,World
807,24.228107193533212,34.11671687622376,-42.63942915461522,91.09564354168165,2039-12-31,032,World
808,23.80795579414319,38.01156915447971,-50.69335074449068,98.30926233277705,2040-12-31,032,World
809,23.41605424386819,42.16461771198877,-59.22507789352946,106.05718638126584,2041-12-31,032,World
810,23.05240254270821,46.58137747621948,-68.24541966094725,114.35022474636366,2042-12-31,032,World
811,22.717000690663255,51.26724987111664,-77.76496264314109,123.1989640244676,2043-12-31,032,World
812,22.40984868773332,56.22752954911047,-87.79408416818487,132.6137815436515,2044-12-31,032,World
813,22.130946533918408,61.46741048502728,-98.34296423967476,142.60485730751157,2045-12-31,032,World
814,21.880294229218517,66.99199151309293,-109.42159638905659,153.18218484749363,2046-12-31,032,World
815,21.657891773633647,72.80628137545942,-121.03979757055612,164.35558111782342,2047-12-31,032,World
816,21.4637391671638,78.91520334028904,-133.2072172124577,176.13469554678528,2048-12-31,032,World
817,21.297836409808976,85.32359943889603,-145.9333455217492,188.52901834136716,2049-12-31,032,World
818,21.160183501569172,92.03623436439138,-159.22752112532558,201.54788812846394,2050-12-31,032,World
819,21.050780442444392,99.05779906840877,-173.09893811944212,215.2004990043309,2051-12-31,032,World
820,20.969627232434632,106.39291408757906,-187.5566525894845,229.49590705435372,2052-12-31,032,World
821,20.916723871539894,114.04613262729026,-202.6095886540274,244.44303639710716,2053-12-31,032,World
822,20.89207035976018,122.02194342677615,-218.26654408030507,260.05068479982543,2054-12-31,032,World
823,20.895666697095486,130.3247734266081,-234.53619551239905,276.32752890659003,2055-12-31,032,World
824,20.927512883545813,138.95899025713035,-251.42710334848195,293.2821291155736,2056-12-31,032,World
825,20.987608919111164,147.92890456420625,-268.9477162991959,310.9229341374182,2057-12-31,032,World
826,21.075954803791536,157.23877218677262,-287.10637565558113,329.2582852631642,2058-12-31,032,World
827,21.19255053758693,166.89279619908297,-305.91131929179886,348.29642036697277,2059-12-31,032,World
828,21.337396120497342,176.89512882911816,-325.3706854251473,368.04547766614195,2060-12-31,032,World
829,21.51049155252278,187.24987326342304,-345.492516153476,388.5134992585215,2061-12-31,032,World
830,21.711836833663238,197.96108534756124,-366.28476078801657,409.7084344553431,2062-12-31,032,World
831,21.941431963918717,209.0327751904467,-387.75527899781457,431.638142925652,2063-12-31,032,World
832,22.19927694328922,220.4689086799905,-409.9118437803422,454.3103976669207,2064-12-31,032,World
833,22.485371771774744,232.27340891677676,-432.76214427145237,477.73288781500185,2065-12-31,032,World
834,22.79971644937529,244.45015757184368,-456.3137884065795,501.91322130533007,2066-12-31,032,World
835,23.142310976090858,257.0029961740784,-480.5743054439881,526.8589273961699,2067-12-31,032,World
836,23.513155351921448,269.93572733223095,-505.55114835987547,552.5774590637184,2068-12-31,032,World
837,23.912249576867058,283.25211589610427,-531.2516961242626,579.0761952779968,2069-12-31,032,World
